source,target,time_duration,traffic_density,bandwidth
40.0035116.3540,40.0035116.3560,60.0,0.0978366282509716,0.5750411425385699
40.0035116.3580,40.0035116.3590,60.0,0.1956732564963748,0.5319218387007332
40.0035116.3590,40.0035116.3560,60.0,0.0652244188354149,0.6569122183456229
40.0035116.3560,40.0035116.3540,60.0,0.0978366282509716,0.8612270218516013
40.0035116.3560,40.0035116.3480,77.0,0.0313892515736316,0.712100652772048
40.0035116.3480,40.0035116.3460,60.0,0.0978366282509716,0.9850226588393406
40.0035116.3460,40.0110116.3460,60.0,0.0199848969716576,0.8639183927877905
40.0110116.3460,40.0110116.3390,60.0,0.0279563936555812,0.7935058413714893
40.0110116.3390,40.0170116.3390,60.0,0.0249811212145561,0.7140825600349615
40.0170116.3390,40.0170116.3410,60.0,0.0978559802963816,0.4904671971790292
40.0170116.3410,40.0225116.3410,60.0,0.0272521322340849,0.8395739693778578
40.0225116.3410,40.0225116.3420,60.0,0.1957277364261297,0.61715230052965
40.0225116.3420,40.0225116.3400,60.0,0.0978638682158508,0.7765590803640111
40.0225116.3400,40.0275116.3400,60.0,0.0299773454574864,0.6467297436975541
40.0275116.3400,40.0275116.3360,59.0,0.0481199284638927,0.3536887556002414
40.0275116.3360,40.0275116.3380,62.0,0.1011334089692327,0.9948417615086528
40.0275116.3380,40.0275116.3410,60.0,0.0652473606267475,0.6559470636174487
40.0275116.3410,40.0275116.3430,60.0,0.0978710409379671,0.3639941841444153
40.0275116.3430,40.0215116.3430,60.0,0.0249811212145826,0.6761368250691254
40.0215116.3430,40.0215116.3460,60.0,0.0652416225927792,0.7944225239022525
40.0215116.3460,40.0140116.3460,62.0,0.0206510602040287,0.4949060326196528
40.0140116.3460,40.0075116.3460,60.0,0.0230594965057497,1.0022536209698278
40.0075116.3460,40.0005116.3460,60.0,0.0214123896125058,0.3552409321910476
40.0005116.3460,40.0005116.3470,62.0,0.2021868144509948,0.8265334583975983
39.9675116.3470,39.9675116.3450,60.0,0.0977850867262365,0.8585405923215174
39.9675116.3470,39.9585116.3470,60.0,0.0166540808097099,0.3472656235920359
39.9675116.3450,39.9675116.3430,62.0,0.101044589617111,1.0475598137159023
39.9675116.3430,39.9675116.3350,60.0,0.024446271689163,0.8766877965166875
39.9675116.3350,39.9675116.3300,60.0,0.0391140346946967,0.639584001840323
39.9675116.3300,39.9675116.3250,60.0,0.0391140346948958,0.627148635818222
39.9675116.3250,39.9675116.3170,60.0,0.0244462716890852,0.7078546224014655
39.9675116.3170,39.9675116.3160,61.0,0.1988296763427532,0.9339532534608304
39.9675116.3090,39.9620116.3040,60.0,0.0223597627652483,0.3817372672282029
39.9675116.3090,39.9625116.3090,60.0,0.0299773454574864,0.3546182031970324
39.9620116.3040,39.9620116.3080,24.000000010494514,0.0195554441111266,0.79146206163332
39.9620116.3140,39.9620116.3150,60.0,0.1955544410128855,0.9255795638750992
39.9620116.3030,39.9680116.3030,60.0,0.0249811212145561,0.7950969976873211
39.9680116.3030,39.9740116.2950,60.0,0.0174726102313134,0.4454507258565328
39.9890116.2950,39.9945116.2890,60.0,0.0209104252433623,0.2796810846695005
39.9945116.2890,39.9945116.2850,60.0,0.0489118670806511,0.4284354515228727
39.9945116.2850,40.0055116.2850,60.0,0.0136260661170424,0.7941774058289691
39.9945116.2850,39.9875116.2930,62.0,0.0166467068481916,0.7999774231471307
40.0055116.2850,40.0130116.2850,61.0,0.0203179785878519,0.2975334653927051
40.0130116.2850,40.0130116.2800,60.0,0.0391400980012456,0.6067891572476964
40.0130116.2800,40.0130116.2790,60.0,0.1957004899845717,0.5109269579979867
40.0130116.2790,40.0205116.2790,62.0,0.0206510602040462,0.6354973730651948
40.0205116.2790,40.0205116.2850,60.0,0.0326203332154899,0.7133915340559561
40.0205116.2850,40.0205116.2910,60.0,0.0326203332153516,0.5471316998580722
40.0205116.2910,40.0205116.2950,60.0,0.0489304998180985,0.317086175242971
